iter	Logloss
0	0.4507894382
1	0.3054047586
2	0.2227474042
3	0.1765227954
4	0.1480223885
5	0.1257550347
6	0.1154345211
7	0.1050433378
8	0.09562033763
9	0.08414353113
10	0.07658417968
11	0.07234821877
12	0.06772033323
13	0.06384886824
14	0.06216950829
15	0.05881550477
16	0.05722979257
17	0.054286316
18	0.05271055596
19	0.05073482867
20	0.04964383792
21	0.04754247219
22	0.04633261079
23	0.04514368416
24	0.04336351982
25	0.04196576355
26	0.04064561473
27	0.03987056824
28	0.03925331538
29	0.03860205818
30	0.03746775749
31	0.03686044796
32	0.03622826786
33	0.03530702465
34	0.03465248131
35	0.03398483452
36	0.03348039222
37	0.03249529203
38	0.0321852254
39	0.03182237468
40	0.03137078754
41	0.03111526162
42	0.03060824703
43	0.03008683807
44	0.02943117398
45	0.028961944
46	0.02877086348
47	0.02853611401
48	0.02761985321
49	0.02738607406
50	0.026967934
51	0.02682031015
52	0.02660885986
53	0.0262011551
54	0.02607990063
55	0.0256760199
56	0.02548548725
57	0.02532256499
58	0.02514107585
59	0.0248911976
60	0.02456853201
61	0.02433092864
62	0.02418460591
63	0.0240683694
64	0.0239877565
65	0.02371590229
66	0.0235715519
67	0.02315816047
68	0.02306538411
69	0.02269643043
70	0.0224944672
71	0.02243079675
72	0.0222427703
73	0.02204900186
74	0.02189370459
75	0.02166362134
76	0.02149580387
77	0.02137606011
78	0.02128212325
79	0.02098399379
80	0.02088056871
81	0.02077989783
82	0.02068143998
83	0.02057435397
84	0.02042123382
85	0.02020082071
86	0.02011543364
87	0.01998422125
88	0.01981190452
89	0.01972484767
90	0.01963743986
91	0.01952325905
92	0.01946016318
93	0.01934663322
94	0.0191806761
95	0.01910486446
96	0.01902067458
97	0.01884413117
98	0.01856305231
99	0.01847544048
100	0.01841330225
101	0.01838182942
102	0.01834093312
103	0.01821532038
104	0.01817644636
105	0.01799053191
106	0.01785257608
107	0.01780171629
108	0.01758865674
109	0.0174573533
110	0.01732628057
111	0.01728731645
112	0.01726365056
113	0.0171958585
114	0.01707305337
115	0.01691688433
116	0.01676944241
117	0.0167231157
118	0.01664531924
119	0.01652727003
120	0.01646738999
121	0.01635211841
122	0.01629802724
123	0.01621010919
124	0.01610659901
125	0.01605002892
126	0.01600210083
127	0.01596017619
128	0.01591917058
129	0.01583342965
130	0.0157694186
131	0.01574094414
132	0.01571055037
133	0.01564443635
134	0.01554483606
135	0.01542513129
136	0.01538657424
137	0.01534466036
138	0.01529805866
139	0.01525907178
140	0.01523433365
141	0.01521759781
142	0.01516603732
143	0.01511956971
144	0.01505675249
145	0.01495039897
146	0.01488602829
147	0.01484996283
148	0.01479132541
149	0.0147738518
150	0.01472392987
151	0.01463177861
152	0.01458451367
153	0.01452381651
154	0.01444731474
155	0.01442855845
156	0.0143467326
157	0.01432352872
158	0.01429972681
159	0.01426889946
160	0.01417554602
161	0.01413671368
162	0.01409952422
163	0.01401483362
164	0.01392424811
165	0.01389436928
166	0.01385974383
167	0.01381229658
168	0.01375074628
169	0.01371826828
170	0.0136891447
171	0.01363212047
172	0.0135602903
173	0.01348492233
174	0.01345681027
175	0.01342691837
176	0.01338898652
177	0.01327810924
178	0.01325188134
179	0.01315848929
180	0.01313463368
181	0.01311457935
182	0.01309457774
183	0.01302552251
184	0.01297034402
185	0.012910456
186	0.01286955182
187	0.01283932307
188	0.01275923692
189	0.01273498434
190	0.01271564261
191	0.01267441445
192	0.01261025288
193	0.01254759817
194	0.01244717203
195	0.01243118233
196	0.01241062324
197	0.01239884417
198	0.01237443435
199	0.01231444932
200	0.01228425322
201	0.01222018569
202	0.01220981965
203	0.01215568669
204	0.01206853581
205	0.01204872718
206	0.01200757989
207	0.01196328449
208	0.01194753041
209	0.01188337672
210	0.01187034148
211	0.01184929521
212	0.01182280029
213	0.01180082674
214	0.01177691331
215	0.0117557587
216	0.01174484247
217	0.01171782608
218	0.01166502642
219	0.0116420399
220	0.01163248156
221	0.01162339061
222	0.01159400289
223	0.01157166856
224	0.01155072046
225	0.01152231765
226	0.01148955149
227	0.01148027324
228	0.01145842772
229	0.01144540401
230	0.01144066192
231	0.01140335105
232	0.01138464826
233	0.01136779246
234	0.01134482323
235	0.011305375
236	0.0112816971
237	0.01127644603
238	0.01123293451
239	0.01122100186
240	0.01117686908
241	0.011127824
242	0.01111584649
243	0.0110459727
244	0.01102815782
245	0.01100355561
246	0.01097507049
247	0.01095384133
248	0.01093965069
249	0.01090778338
250	0.01087007034
251	0.010844532
252	0.01081770849
253	0.01079612923
254	0.01075170176
255	0.01073501539
256	0.01070536276
257	0.0106876008
258	0.01067722774
259	0.01066265424
260	0.01062970788
261	0.01062195945
262	0.01060358362
263	0.01058475193
264	0.01056045795
265	0.01053819268
266	0.01049822213
267	0.01048698739
268	0.01047945892
269	0.01046415782
270	0.01041909036
271	0.01038583327
272	0.01036106191
273	0.01034865802
274	0.01030272792
275	0.01026730706
276	0.01025490558
277	0.01022732479
278	0.01021824767
279	0.01021067425
280	0.01020310582
281	0.01016328636
282	0.01015317361
283	0.01014086107
284	0.01009210309
285	0.01007097009
286	0.01002641497
287	0.01001241278
288	0.009972635
289	0.009950291453
290	0.009929268237
291	0.00989161715
292	0.009876118082
293	0.009818697164
294	0.009812621099
295	0.009780076047
296	0.009765151467
297	0.00975261849
298	0.009732802651
299	0.009721994193
